hospital_name,state,measure_name,number_of_discharges,number_of_readmissions,excess_readmission_ratio,region_name
"NOVANT HEALTH GAFFNEY MEDICAL CENTER",SC,READM-30-PN-HRRP,205,36,0.9868,"South Region"
"KERSHAW HEALTH",SC,READM-30-HF-HRRP,329,63,0.8921,"South Region"
"KERSHAW HEALTH",SC,READM-30-PN-HRRP,452,91,1.1061,"South Region"
"CONWAY MEDICAL CENTER",SC,READM-30-AMI-HRRP,46,14,1.1159,"South Region"
"CONWAY MEDICAL CENTER",SC,READM-30-HF-HRRP,281,59,0.9764,"South Region"
"CONWAY MEDICAL CENTER",SC,READM-30-PN-HRRP,376,64,1.0285,"South Region"
"MCLEOD REGIONAL MEDICAL CENTER-PEE DEE",SC,READM-30-AMI-HRRP,800,154,1.0568,"South Region"
"MCLEOD REGIONAL MEDICAL CENTER-PEE DEE",SC,READM-30-HF-HRRP,1065,233,0.9841,"South Region"
"MCLEOD REGIONAL MEDICAL CENTER-PEE DEE",SC,READM-30-PN-HRRP,588,107,1.0316,"South Region"
"NEWBERRY COUNTY MEMORIAL HOSPITAL",SC,READM-30-HF-HRRP,116,20,0.943,"South Region"
"MARLBORO PARK HOSPITAL",SC,READM-30-HF-HRRP,86,13,0.9381,"South Region"
"CAROLINAS HOSPITAL SYSTEM MARION",SC,READM-30-AMI-HRRP,104,34,1.1875,"South Region"
"CAROLINAS HOSPITAL SYSTEM MARION",SC,READM-30-HF-HRRP,224,54,1.0475,"South Region"
"CAROLINAS HOSPITAL SYSTEM MARION",SC,READM-30-PN-HRRP,129,19,0.9722,"South Region"
"CHESTERFIELD GENERAL HOSPITAL",SC,READM-30-HF-HRRP,103,27,1.0583,"South Region"
"CHESTERFIELD GENERAL HOSPITAL",SC,READM-30-PN-HRRP,183,42,1.1234,"South Region"
"BON SECOURS-ST FRANCIS XAVIER HOSPITAL",SC,READM-30-HF-HRRP,195,42,0.9552,"South Region"
"BON SECOURS-ST FRANCIS XAVIER HOSPITAL",SC,READM-30-PN-HRRP,266,39,0.9146,"South Region"
"LAKE CITY COMMUNITY HOSPITAL",SC,READM-30-HF-HRRP,56,12,0.9969,"South Region"
"LAKE CITY COMMUNITY HOSPITAL",SC,READM-30-PN-HRRP,77,14,1.0154,"South Region"
"BEAUFORT COUNTY MEMORIAL HOSPITAL",SC,READM-30-HF-HRRP,356,101,1.1471,"South Region"
"BEAUFORT COUNTY MEMORIAL HOSPITAL",SC,READM-30-PN-HRRP,187,35,1.0291,"South Region"
"TRMC OF ORANGEBURG & CALHOUN",SC,READM-30-AMI-HRRP,104,24,0.997,"South Region"
"TRMC OF ORANGEBURG & CALHOUN",SC,READM-30-HF-HRRP,422,107,1.0763,"South Region"
"TRMC OF ORANGEBURG & CALHOUN",SC,READM-30-PN-HRRP,244,60,1.1637,"South Region"
"CLARENDON MEMORIAL HOSPITAL",SC,READM-30-HF-HRRP,132,27,0.9907,"South Region"
"CLARENDON MEMORIAL HOSPITAL",SC,READM-30-PN-HRRP,117,19,1.0193,"South Region"
"TUOMEY HEALTHCARE SYSTEM",SC,READM-30-AMI-HRRP,58,15,1.0406,"South Region"
"TUOMEY HEALTHCARE SYSTEM",SC,READM-30-HF-HRRP,562,131,1.0217,"South Region"
"TUOMEY HEALTHCARE SYSTEM",SC,READM-30-PN-HRRP,473,83,0.9963,"South Region"
"SELF REGIONAL HEALTHCARE",SC,READM-30-AMI-HRRP,292,46,0.989,"South Region"
"SELF REGIONAL HEALTHCARE",SC,READM-30-HF-HRRP,442,94,0.9841,"South Region"
"SELF REGIONAL HEALTHCARE",SC,READM-30-PN-HRRP,409,68,0.9787,"South Region"
"HAMPTON REGIONAL MEDICAL CENTER",SC,READM-30-HF-HRRP,71,20,1.0449,"South Region"
"HAMPTON REGIONAL MEDICAL CENTER",SC,READM-30-PN-HRRP,88,17,1.0373,"South Region"
"LEXINGTON MEDICAL CENTER",SC,READM-30-AMI-HRRP,214,32,0.953,"South Region"
"LEXINGTON MEDICAL CENTER",SC,READM-30-HF-HRRP,669,139,0.9825,"South Region"
"LEXINGTON MEDICAL CENTER",SC,READM-30-PN-HRRP,615,113,1.1056,"South Region"
"GHS GREENVILLE MEMORIAL MEDICAL CENTER",SC,READM-30-AMI-HRRP,602,75,0.8548,"South Region"
"GHS GREENVILLE MEMORIAL MEDICAL CENTER",SC,READM-30-HF-HRRP,939,164,0.8184,"South Region"
"GHS GREENVILLE MEMORIAL MEDICAL CENTER",SC,READM-30-PN-HRRP,674,109,0.9161,"South Region"
"TRIDENT MEDICAL CENTER",SC,READM-30-AMI-HRRP,260,40,0.9703,"South Region"
"TRIDENT MEDICAL CENTER",SC,READM-30-HF-HRRP,693,120,0.8351,"South Region"
"TRIDENT MEDICAL CENTER",SC,READM-30-PN-HRRP,593,112,1.0697,"South Region"
"HILTON HEAD REGIONAL MEDICAL CENTER",SC,READM-30-AMI-HRRP,147,21,0.9963,"South Region"
"HILTON HEAD REGIONAL MEDICAL CENTER",SC,READM-30-HF-HRRP,310,68,1.0435,"South Region"
"HILTON HEAD REGIONAL MEDICAL CENTER",SC,READM-30-PN-HRRP,328,60,1.0909,"South Region"
"AIKEN REGIONAL MEDICAL CENTER",SC,READM-30-AMI-HRRP,169,27,0.9975,"South Region"
"AIKEN REGIONAL MEDICAL CENTER",SC,READM-30-HF-HRRP,427,89,0.9873,"South Region"
"AIKEN REGIONAL MEDICAL CENTER",SC,READM-30-PN-HRRP,342,58,0.9913,"South Region"
"MARY BLACK MEMORIAL HOSPITAL",SC,READM-30-HF-HRRP,285,68,1.0248,"South Region"
"MARY BLACK MEMORIAL HOSPITAL",SC,READM-30-PN-HRRP,387,69,1.0353,"South Region"
"GRAND STRAND REGIONAL MEDICAL CENTER",SC,READM-30-AMI-HRRP,606,99,1.028,"South Region"
"GRAND STRAND REGIONAL MEDICAL CENTER",SC,READM-30-HF-HRRP,896,214,1.0491,"South Region"
"GRAND STRAND REGIONAL MEDICAL CENTER",SC,READM-30-PN-HRRP,516,99,1.0707,"South Region"
"PALMETTO HEALTH BAPTIST",SC,READM-30-HF-HRRP,205,42,0.9664,"South Region"
"PALMETTO HEALTH BAPTIST",SC,READM-30-PN-HRRP,279,42,0.9739,"South Region"
"ROPER HOSPITAL",SC,READM-30-AMI-HRRP,304,51,0.9823,"South Region"
"ROPER HOSPITAL",SC,READM-30-HF-HRRP,933,173,0.8584,"South Region"
"ROPER HOSPITAL",SC,READM-30-PN-HRRP,439,72,0.9426,"South Region"
"EAST COOPER MEDICAL CENTER",SC,READM-30-HF-HRRP,124,23,0.9528,"South Region"
"EAST COOPER MEDICAL CENTER",SC,READM-30-PN-HRRP,189,21,0.9061,"South Region"
"CAROLINAS HOSPITAL SYSTEM",SC,READM-30-AMI-HRRP,246,64,1.1948,"South Region"
"CAROLINAS HOSPITAL SYSTEM",SC,READM-30-HF-HRRP,739,207,1.1383,"South Region"
"CAROLINAS HOSPITAL SYSTEM",SC,READM-30-PN-HRRP,494,83,0.9934,"South Region"
"WACCAMAW COMMUNITY HOSPITAL",SC,READM-30-AMI-HRRP,60,12,1.0061,"South Region"
"WACCAMAW COMMUNITY HOSPITAL",SC,READM-30-HF-HRRP,358,91,1.0925,"South Region"
"WACCAMAW COMMUNITY HOSPITAL",SC,READM-30-PN-HRRP,461,85,1.0544,"South Region"
"COASTAL CAROLINA HOSPITAL",SC,READM-30-HF-HRRP,125,37,1.1421,"South Region"
"COASTAL CAROLINA HOSPITAL",SC,READM-30-PN-HRRP,122,22,1.0426,"South Region"
"PRAIRIE LAKES HOSPITAL",SD,READM-30-HF-HRRP,182,33,0.9429,"Midwest Region"
"PRAIRIE LAKES HOSPITAL",SD,READM-30-PN-HRRP,420,52,0.8798,"Midwest Region"
"BROOKINGS HOSPITAL",SD,READM-30-HF-HRRP,62,14,1.0202,"Midwest Region"
"BROOKINGS HOSPITAL",SD,READM-30-PN-HRRP,155,16,0.9047,"Midwest Region"
"AVERA SACRED HEART HOSPITAL",SD,READM-30-HF-HRRP,180,41,1.0563,"Midwest Region"
"AVERA SACRED HEART HOSPITAL",SD,READM-30-PN-HRRP,387,58,0.9632,"Midwest Region"
"AVERA QUEEN OF PEACE",SD,READM-30-HF-HRRP,190,35,0.9436,"Midwest Region"
"AVERA QUEEN OF PEACE",SD,READM-30-PN-HRRP,349,41,0.8771,"Midwest Region"
"AVERA ST LUKES",SD,READM-30-AMI-HRRP,140,14,0.8609,"Midwest Region"
"AVERA ST LUKES",SD,READM-30-HF-HRRP,330,53,0.8479,"Midwest Region"
"AVERA ST LUKES",SD,READM-30-PN-HRRP,391,45,0.8441,"Midwest Region"
"AVERA ST MARY'S HOSPITAL",SD,READM-30-HF-HRRP,62,12,0.9883,"Midwest Region"
"AVERA ST MARY'S HOSPITAL",SD,READM-30-PN-HRRP,132,23,1.0357,"Midwest Region"
"AVERA MCKENNAN HOSPITAL & UNIVERSITY HEALTH CENTER",SD,READM-30-AMI-HRRP,88,16,1.0034,"Midwest Region"
"AVERA MCKENNAN HOSPITAL & UNIVERSITY HEALTH CENTER",SD,READM-30-HF-HRRP,431,87,0.9427,"Midwest Region"
"AVERA MCKENNAN HOSPITAL & UNIVERSITY HEALTH CENTER",SD,READM-30-PN-HRRP,451,68,0.9389,"Midwest Region"
"SANFORD USD MEDICAL CENTER",SD,READM-30-AMI-HRRP,445,52,0.8614,"Midwest Region"
"SANFORD USD MEDICAL CENTER",SD,READM-30-HF-HRRP,566,96,0.8567,"Midwest Region"
"SANFORD USD MEDICAL CENTER",SD,READM-30-PN-HRRP,667,97,0.9015,"Midwest Region"
"RAPID CITY REGIONAL HOSPITAL",SD,READM-30-AMI-HRRP,420,59,0.9721,"Midwest Region"
"RAPID CITY REGIONAL HOSPITAL",SD,READM-30-HF-HRRP,523,91,0.881,"Midwest Region"
"RAPID CITY REGIONAL HOSPITAL",SD,READM-30-PN-HRRP,520,62,0.846,"Midwest Region"
"AVERA HEART HOSPITAL OF SOUTH DAKOTA",SD,READM-30-AMI-HRRP,709,68,0.7917,"Midwest Region"
"AVERA HEART HOSPITAL OF SOUTH DAKOTA",SD,READM-30-HF-HRRP,269,38,0.8457,"Midwest Region"
"UNICOI COUNTY MEMORIAL HOSPITAL",TN,READM-30-HF-HRRP,58,11,0.9815,"South Region"
"UNICOI COUNTY MEMORIAL HOSPITAL",TN,READM-30-PN-HRRP,144,28,1.0616,"South Region"
"JACKSON-MADISON COUNTY GENERAL HOSPITAL",TN,READM-30-AMI-HRRP,1596,294,1.0196,"South Region"
"JACKSON-MADISON COUNTY GENERAL HOSPITAL",TN,READM-30-HF-HRRP,1850,437,0.9904,"South Region"
"JACKSON-MADISON COUNTY GENERAL HOSPITAL",TN,READM-30-PN-HRRP,846,167,1.0231,"South Region"
"SUMNER REGIONAL MEDICAL CENTER",TN,READM-30-AMI-HRRP,109,21,0.9843,"South Region"
"SUMNER REGIONAL MEDICAL CENTER",TN,READM-30-HF-HRRP,222,66,1.1402,"South Region"
"SUMNER REGIONAL MEDICAL CENTER",TN,READM-30-PN-HRRP,305,74,1.1762,"South Region"
"TRISTAR SKYLINE MEDICAL CENTER",TN,READM-30-AMI-HRRP,97,15,0.9725,"South Region"
"TRISTAR SKYLINE MEDICAL CENTER",TN,READM-30-HF-HRRP,344,73,0.9657,"South Region"
"TRISTAR SKYLINE MEDICAL CENTER",TN,READM-30-PN-HRRP,366,81,1.1006,"South Region"
"UNITED REGIONAL MEDICAL CENTER",TN,READM-30-HF-HRRP,57,16,1.04,"South Region"
"UNITED REGIONAL MEDICAL CENTER",TN,READM-30-PN-HRRP,309,44,0.8979,"South Region"
"HENDERSON COUNTY COMMUNITY HOSPITAL",TN,READM-30-HF-HRRP,126,36,1.0905,"South Region"
"HENDERSON COUNTY COMMUNITY HOSPITAL",TN,READM-30-PN-HRRP,123,18,0.9848,"South Region"
"CUMBERLAND MEDICAL CENTER",TN,READM-30-AMI-HRRP,83,22,1.055,"South Region"
"CUMBERLAND MEDICAL CENTER",TN,READM-30-HF-HRRP,549,138,1.0539,"South Region"
"CUMBERLAND MEDICAL CENTER",TN,READM-30-PN-HRRP,422,89,1.1228,"South Region"
"WAYNE MEDICAL CENTER",TN,READM-30-HF-HRRP,81,21,1.0155,"South Region"
"WAYNE MEDICAL CENTER",TN,READM-30-PN-HRRP,151,35,1.0796,"South Region"
"BLOUNT MEMORIAL HOSPITAL",TN,READM-30-AMI-HRRP,163,34,1.0343,"South Region"
"BLOUNT MEMORIAL HOSPITAL",TN,READM-30-HF-HRRP,495,119,1.021,"South Region"
"BLOUNT MEMORIAL HOSPITAL",TN,READM-30-PN-HRRP,853,183,1.153,"South Region"
"WELLMONT BRISTOL REGIONAL MEDICAL CENTER",TN,READM-30-AMI-HRRP,460,76,0.9961,"South Region"
"WELLMONT BRISTOL REGIONAL MEDICAL CENTER",TN,READM-30-HF-HRRP,567,162,1.1876,"South Region"
"WELLMONT BRISTOL REGIONAL MEDICAL CENTER",TN,READM-30-PN-HRRP,757,146,1.0643,"South Region"
"UNIVERSITY OF TN MEMORIAL HOSPITAL",TN,READM-30-AMI-HRRP,356,59,0.9931,"South Region"
"UNIVERSITY OF TN MEMORIAL HOSPITAL",TN,READM-30-HF-HRRP,568,136,1.0255,"South Region"
"UNIVERSITY OF TN MEMORIAL HOSPITAL",TN,READM-30-PN-HRRP,390,74,0.9897,"South Region"
"BAPTIST MEMORIAL HOSPITAL HUNTINGDON",TN,READM-30-HF-HRRP,117,21,0.9641,"South Region"
"BAPTIST MEMORIAL HOSPITAL HUNTINGDON",TN,READM-30-PN-HRRP,93,13,0.9669,"South Region"
"WELLMONT HOLSTON VALLEY MEDICAL CENTER",TN,READM-30-AMI-HRRP,672,127,1.0736,"South Region"
"WELLMONT HOLSTON VALLEY MEDICAL CENTER",TN,READM-30-HF-HRRP,642,167,1.0732,"South Region"
"WELLMONT HOLSTON VALLEY MEDICAL CENTER",TN,READM-30-PN-HRRP,457,97,1.0766,"South Region"
"SYCAMORE SHOALS HOSPITAL",TN,READM-30-HF-HRRP,113,24,0.9715,"South Region"
"SYCAMORE SHOALS HOSPITAL",TN,READM-30-PN-HRRP,281,65,1.1544,"South Region"
"HILLSIDE HOSPITAL",TN,READM-30-PN-HRRP,134,21,0.9959,"South Region"
"LAUGHLIN MEMORIAL HOSPITAL, INC",TN,READM-30-HF-HRRP,247,69,1.1022,"South Region"
"LAUGHLIN MEMORIAL HOSPITAL, INC",TN,READM-30-PN-HRRP,513,101,1.0802,"South Region"
"WILLIAMSON MEDICAL CENTER",TN,READM-30-AMI-HRRP,124,21,1.0262,"South Region"
"WILLIAMSON MEDICAL CENTER",TN,READM-30-HF-HRRP,312,63,0.9493,"South Region"
"WILLIAMSON MEDICAL CENTER",TN,READM-30-PN-HRRP,341,49,0.9367,"South Region"
"MORRISTOWN HAMBLEN HOSPITAL ASSOCIATION",TN,READM-30-AMI-HRRP,170,32,1.0296,"South Region"
"MORRISTOWN HAMBLEN HOSPITAL ASSOCIATION",TN,READM-30-HF-HRRP,306,89,1.1398,"South Region"
"MORRISTOWN HAMBLEN HOSPITAL ASSOCIATION",TN,READM-30-PN-HRRP,381,83,1.1122,"South Region"
"ROANE MEDICAL CENTER",TN,READM-30-HF-HRRP,108,26,1.0079,"South Region"
"ROANE MEDICAL CENTER",TN,READM-30-PN-HRRP,204,30,0.9262,"South Region"
"WELLMONT HAWKINS COUNTY MEMORIAL HOSPITAL",TN,READM-30-HF-HRRP,82,22,1.039,"South Region"
"WELLMONT HAWKINS COUNTY MEMORIAL HOSPITAL",TN,READM-30-PN-HRRP,70,13,0.9922,"South Region"
"TENNOVA HEALTHCARE-LAFOLLETT MEDICAL CENTER",TN,READM-30-HF-HRRP,205,45,0.9676,"South Region"
"TENNOVA HEALTHCARE-LAFOLLETT MEDICAL CENTER",TN,READM-30-PN-HRRP,296,69,1.117,"South Region"
"METHODIST MEDICAL CENTER OF OAK RIDGE",TN,READM-30-AMI-HRRP,269,58,1.1126,"South Region"
"METHODIST MEDICAL CENTER OF OAK RIDGE",TN,READM-30-HF-HRRP,473,126,1.1143,"South Region"
"METHODIST MEDICAL CENTER OF OAK RIDGE",TN,READM-30-PN-HRRP,266,55,1.0568,"South Region"
"GATEWAY MEDICAL CENTER",TN,READM-30-AMI-HRRP,193,38,1.0713,"South Region"
"GATEWAY MEDICAL CENTER",TN,READM-30-HF-HRRP,492,132,1.1413,"South Region"
"GATEWAY MEDICAL CENTER",TN,READM-30-PN-HRRP,552,91,0.9461,"South Region"
"VANDERBILT UNIVERSITY HOSPITAL",TN,READM-30-AMI-HRRP,570,101,1.0339,"South Region"
"VANDERBILT UNIVERSITY HOSPITAL",TN,READM-30-HF-HRRP,828,170,0.936,"South Region"
"VANDERBILT UNIVERSITY HOSPITAL",TN,READM-30-PN-HRRP,377,79,1.0641,"South Region"
"PERRY COMMUNITY HOSPITAL",TN,READM-30-HF-HRRP,161,46,1.1146,"South Region"
"PERRY COMMUNITY HOSPITAL",TN,READM-30-PN-HRRP,165,38,1.0821,"South Region"
"TRISTAR HORIZON MEDICAL CENTER",TN,READM-30-HF-HRRP,304,82,1.0664,"South Region"
"TRISTAR HORIZON MEDICAL CENTER",TN,READM-30-PN-HRRP,229,41,0.996,"South Region"
"BAPTIST MEMORIAL HOSPITAL",TN,READM-30-AMI-HRRP,829,134,0.9291,"South Region"
"BAPTIST MEMORIAL HOSPITAL",TN,READM-30-HF-HRRP,1678,325,0.8882,"South Region"
"BAPTIST MEMORIAL HOSPITAL",TN,READM-30-PN-HRRP,1002,163,0.9633,"South Region"
"METHODIST HEALTHCARE MEMPHIS HOSPITALS",TN,READM-30-AMI-HRRP,952,184,1.0866,"South Region"
"METHODIST HEALTHCARE MEMPHIS HOSPITALS",TN,READM-30-HF-HRRP,2288,571,1.0945,"South Region"
"METHODIST HEALTHCARE MEMPHIS HOSPITALS",TN,READM-30-PN-HRRP,1162,211,1.0418,"South Region"
"TAKOMA REGIONAL HOSPITAL",TN,READM-30-HF-HRRP,73,15,0.9751,"South Region"
"TAKOMA REGIONAL HOSPITAL",TN,READM-30-PN-HRRP,101,16,0.9696,"South Region"
"MCNAIRY REGIONAL HOSPITAL",TN,READM-30-HF-HRRP,88,21,1.0197,"South Region"
"MCNAIRY REGIONAL HOSPITAL",TN,READM-30-PN-HRRP,105,13,0.9451,"South Region"
"SAINT THOMAS RUTHERFORD HOSPITAL",TN,READM-30-AMI-HRRP,187,43,1.1328,"South Region"
"SAINT THOMAS RUTHERFORD HOSPITAL",TN,READM-30-HF-HRRP,531,141,1.1037,"South Region"
"SAINT THOMAS RUTHERFORD HOSPITAL",TN,READM-30-PN-HRRP,757,165,1.1707,"South Region"
"STARR REGIONAL MEDICAL CENTER ETOWAH",TN,READM-30-HF-HRRP,111,24,1.0001,"South Region"
"STARR REGIONAL MEDICAL CENTER ETOWAH",TN,READM-30-PN-HRRP,238,30,0.9031,"South Region"
"TENNOVA HEALTHCARE-JEFFERSON MEMORIAL HOSPITAL",TN,READM-30-AMI-HRRP,33,14,1.1108,"South Region"
"TENNOVA HEALTHCARE-JEFFERSON MEMORIAL HOSPITAL",TN,READM-30-HF-HRRP,205,43,0.9829,"South Region"
"TENNOVA HEALTHCARE-JEFFERSON MEMORIAL HOSPITAL",TN,READM-30-PN-HRRP,227,32,0.9178,"South Region"
"CLAIBORNE COUNTY HOSPITAL",TN,READM-30-HF-HRRP,224,56,1.0055,"South Region"
"CLAIBORNE COUNTY HOSPITAL",TN,READM-30-PN-HRRP,177,40,1.0632,"South Region"
"SOUTHERN TENNESSEE MEDICAL CENTER",TN,READM-30-HF-HRRP,278,83,1.1938,"South Region"
"SOUTHERN TENNESSEE MEDICAL CENTER",TN,READM-30-PN-HRRP,379,69,1.0377,"South Region"
"COOKEVILLE REGIONAL MEDICAL CENTER",TN,READM-30-AMI-HRRP,646,113,1.0157,"South Region"
"COOKEVILLE REGIONAL MEDICAL CENTER",TN,READM-30-HF-HRRP,678,151,0.9678,"South Region"
"COOKEVILLE REGIONAL MEDICAL CENTER",TN,READM-30-PN-HRRP,705,126,0.9755,"South Region"
"VOLUNTEER COMMUNITY HOSPITAL",TN,READM-30-HF-HRRP,183,40,0.9858,"South Region"
"VOLUNTEER COMMUNITY HOSPITAL",TN,READM-30-PN-HRRP,304,56,1.0454,"South Region"
"JOHNSON CITY MEDICAL CENTER",TN,READM-30-AMI-HRRP,846,179,1.1479,"South Region"
"JOHNSON CITY MEDICAL CENTER",TN,READM-30-HF-HRRP,960,234,1.0213,"South Region"
"JOHNSON CITY MEDICAL CENTER",TN,READM-30-PN-HRRP,804,181,1.1006,"South Region"
"GRANDVIEW MEDICAL CENTER",TN,READM-30-PN-HRRP,234,36,0.9745,"South Region"
"NORTHCREST MEDICAL CENTER",TN,READM-30-HF-HRRP,135,31,0.9769,"South Region"
"NORTHCREST MEDICAL CENTER",TN,READM-30-PN-HRRP,357,68,0.9972,"South Region"
"LAKEWAY REGIONAL HOSPITAL",TN,READM-30-HF-HRRP,88,24,1.0518,"South Region"
"LAKEWAY REGIONAL HOSPITAL",TN,READM-30-PN-HRRP,123,34,1.1241,"South Region"
"STARR REGIONAL MEDICAL CENTER ATHENS",TN,READM-30-HF-HRRP,157,38,1.0452,"South Region"
"STARR REGIONAL MEDICAL CENTER ATHENS",TN,READM-30-PN-HRRP,302,48,1.0188,"South Region"
"DECATUR COUNTY GENERAL HOSPITAL",TN,READM-30-HF-HRRP,60,18,1.066,"South Region"
"DECATUR COUNTY GENERAL HOSPITAL",TN,READM-30-PN-HRRP,211,45,1.1091,"South Region"
"DYERSBURG REGIONAL MEDICAL CENTER",TN,READM-30-AMI-HRRP,117,35,1.107,"South Region"
"DYERSBURG REGIONAL MEDICAL CENTER",TN,READM-30-HF-HRRP,479,122,1.0404,"South Region"
"DYERSBURG REGIONAL MEDICAL CENTER",TN,READM-30-PN-HRRP,199,42,1.0779,"South Region"
"MAURY REGIONAL HOSPITAL",TN,READM-30-AMI-HRRP,298,56,1.0814,"South Region"
"MAURY REGIONAL HOSPITAL",TN,READM-30-HF-HRRP,630,160,1.0856,"South Region"
"MAURY REGIONAL HOSPITAL",TN,READM-30-PN-HRRP,791,153,1.062,"South Region"
"LECONTE MEDICAL CENTER",TN,READM-30-HF-HRRP,160,25,0.9004,"South Region"
"LECONTE MEDICAL CENTER",TN,READM-30-PN-HRRP,249,32,0.9182,"South Region"
"SAINT THOMAS WEST HOSPITAL",TN,READM-30-AMI-HRRP,1456,262,1.0449,"South Region"
"SAINT THOMAS WEST HOSPITAL",TN,READM-30-HF-HRRP,1415,303,0.9337,"South Region"
"SAINT THOMAS WEST HOSPITAL",TN,READM-30-PN-HRRP,663,136,1.1046,"South Region"
"JAMESTOWN REGIONAL MEDICAL CENTER",TN,READM-30-HF-HRRP,166,54,1.1694,"South Region"
"JAMESTOWN REGIONAL MEDICAL CENTER",TN,READM-30-PN-HRRP,179,42,1.1049,"South Region"
"SWEETWATER HOSPITAL ASSOCIATION",TN,READM-30-HF-HRRP,135,32,1.0437,"South Region"
"SWEETWATER HOSPITAL ASSOCIATION",TN,READM-30-PN-HRRP,288,52,1.0463,"South Region"
"MEMORIAL HEALTHCARE SYSTEM, INC",TN,READM-30-AMI-HRRP,934,140,0.9717,"South Region"
"MEMORIAL HEALTHCARE SYSTEM, INC",TN,READM-30-HF-HRRP,1469,265,0.8787,"South Region"
"MEMORIAL HEALTHCARE SYSTEM, INC",TN,READM-30-PN-HRRP,1151,151,0.848,"South Region"
"LINCOLN MEDICAL CENTER",TN,READM-30-HF-HRRP,144,27,0.9753,"South Region"
"LINCOLN MEDICAL CENTER",TN,READM-30-PN-HRRP,201,25,0.9411,"South Region"
"ERLANGER MEDICAL CENTER",TN,READM-30-AMI-HRRP,264,40,0.9793,"South Region"
"ERLANGER MEDICAL CENTER",TN,READM-30-HF-HRRP,340,65,0.9018,"South Region"
"ERLANGER MEDICAL CENTER",TN,READM-30-PN-HRRP,297,50,0.9497,"South Region"
"HARDIN MEDICAL CENTER",TN,READM-30-HF-HRRP,108,29,1.0589,"South Region"
"HARDIN MEDICAL CENTER",TN,READM-30-PN-HRRP,256,40,0.9666,"South Region"
"FORT LOUDOUN MEDICAL CENTER",TN,READM-30-HF-HRRP,121,15,0.8693,"South Region"
"FORT LOUDOUN MEDICAL CENTER",TN,READM-30-PN-HRRP,137,23,1.0146,"South Region"
"HUMBOLDT GENERAL HOSPITAL INC",TN,READM-30-HF-HRRP,94,22,1.0213,"South Region"
"HUMBOLDT GENERAL HOSPITAL INC",TN,READM-30-PN-HRRP,75,13,1.0141,"South Region"
"TENNOVA HEALTHCARE",TN,READM-30-AMI-HRRP,497,92,1.0901,"South Region"
"TENNOVA HEALTHCARE",TN,READM-30-HF-HRRP,750,144,0.8807,"South Region"
"TENNOVA HEALTHCARE",TN,READM-30-PN-HRRP,566,81,0.8753,"South Region"
"FORT SANDERS REGIONAL MEDICAL CENTER",TN,READM-30-AMI-HRRP,237,43,1.0555,"South Region"
"FORT SANDERS REGIONAL MEDICAL CENTER",TN,READM-30-HF-HRRP,379,93,1.0406,"South Region"
"FORT SANDERS REGIONAL MEDICAL CENTER",TN,READM-30-PN-HRRP,442,79,0.9985,"South Region"
"BAPTIST MEMORIAL HOSPITAL UNION CITY",TN,READM-30-HF-HRRP,174,42,1.0318,"South Region"
"BAPTIST MEMORIAL HOSPITAL UNION CITY",TN,READM-30-PN-HRRP,148,29,1.0685,"South Region"
"BAPTIST MEMORIAL HOSPITAL TIPTON",TN,READM-30-PN-HRRP,115,17,0.981,"South Region"
"HENRY COUNTY MEDICAL CENTER",TN,READM-30-AMI-HRRP,47,11,1.0211,"South Region"
"HENRY COUNTY MEDICAL CENTER",TN,READM-30-HF-HRRP,176,25,0.8708,"South Region"
"HENRY COUNTY MEDICAL CENTER",TN,READM-30-PN-HRRP,268,50,1.0767,"South Region"
"SAINT THOMAS MIDTOWN HOSPITAL",TN,READM-30-AMI-HRRP,177,35,1.0691,"South Region"
"SAINT THOMAS MIDTOWN HOSPITAL",TN,READM-30-HF-HRRP,615,111,0.8868,"South Region"
"SAINT THOMAS MIDTOWN HOSPITAL",TN,READM-30-PN-HRRP,420,75,1.0515,"South Region"
"HERITAGE MEDICAL CENTER",TN,READM-30-HF-HRRP,132,40,1.1232,"South Region"
"HERITAGE MEDICAL CENTER",TN,READM-30-PN-HRRP,195,29,0.9647,"South Region"
"CUMBERLAND RIVER HOSPITAL",TN,READM-30-HF-HRRP,72,18,1.0404,"South Region"
"CUMBERLAND RIVER HOSPITAL",TN,READM-30-PN-HRRP,136,28,1.0388,"South Region"
"HARTON REGIONAL MEDICAL CENTER",TN,READM-30-AMI-HRRP,81,15,0.9954,"South Region"
"HARTON REGIONAL MEDICAL CENTER",TN,READM-30-HF-HRRP,288,78,1.1382,"South Region"
"HARTON REGIONAL MEDICAL CENTER",TN,READM-30-PN-HRRP,310,57,1.0331,"South Region"
"STONES RIVER HOSPITAL AND DEKALB COMMUNITY HOSP",TN,READM-30-HF-HRRP,105,23,0.9839,"South Region"
"STONES RIVER HOSPITAL AND DEKALB COMMUNITY HOSP",TN,READM-30-PN-HRRP,138,29,1.0593,"South Region"
"TRISTAR SUMMIT MEDICAL CENTER",TN,READM-30-AMI-HRRP,84,15,1.0026,"South Region"
"TRISTAR SUMMIT MEDICAL CENTER",TN,READM-30-HF-HRRP,295,68,1.0252,"South Region"
"TRISTAR SUMMIT MEDICAL CENTER",TN,READM-30-PN-HRRP,387,69,1.0494,"South Region"
"RIVER PARK HOSPITAL",TN,READM-30-HF-HRRP,236,59,1.043,"South Region"
"RIVER PARK HOSPITAL",TN,READM-30-PN-HRRP,351,72,1.0653,"South Region"
